centris_no,property_type,price,address,municipality,coordinates,bedrooms,bathrooms,powder_rooms,building_style,year_built,lot_area,net_area,listing_hyperlink
12752431,House for sale,"$1,375,000",20, Avenue de Lombardie,"Lat:45.4804481100, Lon:-73.5046685200",8 bedrooms,5 bathrooms and 1 powder room,5 bathrooms and 1 powder room,"Two or more storey, Detached","1760, Century","59,722 sqft",,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/12752431?view=Summary&uc=1
16234809,House for sale,"$1,989,000",210, boulevard Queen,"Lat:45.4957994700, Lon:-73.5051752500",4 bedrooms (1 in basement),3 bathrooms and 1 powder room,3 bathrooms and 1 powder room,"Two or more storey, Detached",2020,"6,600 sqft",,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/16234809?view=Summary&uc=1
18791170,House for sale,"$659,000",50Z, Place le Marronnier,"Lat:45.4779190000, Lon:-73.5003680000",3 bedrooms,2 bathrooms and 1 powder room,2 bathrooms and 1 powder room,"Two or more storey, Attached",2002,,,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/18791170?view=Summary&uc=1
18443419,House for sale,"$789,000",366, boulevard de l'Union,"Lat:45.4952933400, Lon:-73.5034796100",4 bedrooms (1 in basement),2 bathrooms and 1 powder room,2 bathrooms and 1 powder room,"Two or more storey, Semi-detached",1951,,,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/18443419?view=Summary&uc=1
27244676,House for sale,"$795,000",577, Avenue Pine,"Lat:45.5033353100, Lon:-73.5073252400",5 bedrooms (2 in basement),2 bathrooms and 1 powder room,2 bathrooms and 1 powder room,"Two or more storey, Detached",1948,"6,825 sqft",,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/27244676?view=Summary&uc=1
22602781,House for sale,"$725,000",45, Avenue Cleghorn,"Lat:45.4939396700, Lon:-73.5118891300",5 bedrooms (1 in basement),2 bathrooms and 2 powder rooms,2 bathrooms and 2 powder rooms,"Two or more storey, Detached",1983,"9,283 sqft",,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/22602781?view=Summary&uc=1
16564622,House for sale,"$879,000",117, Avenue Edison,"Lat:45.4968176500, Lon:-73.5093105800",4 bedrooms (2 in basement),2 bathrooms,,"Bungalow, Detached",1955,"5,038 sqft",,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/16564622?view=Summary&uc=1
17956711,House for sale,"$1,279,000",1555, Avenue Kerr,"Lat:45.4868520000, Lon:-73.4911730000",5 bedrooms (1 in basement),3 bathrooms and 1 powder room,3 bathrooms and 1 powder room,"Two or more storey, Detached",1968,"7,500 sqft",,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/17956711?view=Summary&uc=1
22615151,House for sale,"$1,200,000",225, Avenue Maple,"Lat:45.5077994700, Lon:-73.5153609700",3 bedrooms (1 in basement),1 bathroom and 1 powder room,1 bathroom and 1 powder room,"Two or more storey, Detached",1923,"3,637 sqft",,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/22615151?view=Summary&uc=1
22309191,House for sale,"$895,000",51Z, Avenue Sainte-Hélène,"Lat:45.4972137000, Lon:-73.4990130500",3 bedrooms,2 bathrooms and 1 powder room,2 bathrooms and 1 powder room,"Two or more storey, Attached",2018,998 sqft,,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/22309191?view=Summary&uc=1
19717903,House for sale,"$775,000",144, Avenue Saint-Denis,"Lat:45.4992920000, Lon:-73.5117360000",4 bedrooms,1 bathroom and 1 powder room,1 bathroom and 1 powder room,"Two or more storey, Semi-detached",1918,"3,323 sqft",,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/19717903?view=Summary&uc=1
25604041,House for sale,"$549,000",95, Rue Riverside,"Lat:45.4910450000, Lon:-73.5114460000",4 bedrooms,2 bathrooms,,"Two or more storey, Detached",1950,"7,571 sqft",,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/25604041?view=Summary&uc=1
24371562,House for sale,"$1,079,000",174, Avenue Edison,"Lat:45.4969109800, Lon:-73.5086617000",4 bedrooms (1 in basement),2 bathrooms,,"Two or more storey, Detached",1908,"6,711 sqft",,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/24371562?view=Summary&uc=1
21820927,House for sale,"$699,000",873, Avenue Oak,"Lat:45.5038925900, Lon:-73.4994791800",3 bedrooms (1 in basement),2 bathrooms,,"Two or more storey, Semi-detached",1920,"2,275 sqft",,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/21820927?view=Summary&uc=1
