centris_no,property_type,price,address,municipality,coordinates,bedrooms,bathrooms,powder_rooms,building_style,year_built,lot_area,net_area,listing_hyperlink
18538097,House for sale,"$499,900",309, Avenue Clément,"Lat:45.4455240000, Lon:-73.7635420000",3 bedrooms,2 bathrooms,,"Two or more storey, Detached",1948,,,https://www.centris.ca/en/houses~for-sale~dorval/18538097?view=Summary&uc=1
12787099,House for sale,"$3,500,000",1, Avenue Martin,"Lat:45.4372538700, Lon:-73.7299170200",4 bedrooms,3 bathrooms,,"Two or more storey, Detached","Unknown age, Historic","19,158 sqft",,https://www.centris.ca/en/houses~for-sale~dorval/12787099?view=Summary&uc=1
26020802,House for sale,"$1,398,000",49, Avenue Girouard,"Lat:45.4384773800, Lon:-73.7311313600",5 bedrooms (1 in basement),3 bathrooms and 1 powder room,3 bathrooms and 1 powder room,"Two or more storey, Detached",1994,"8,089 sqft",,https://www.centris.ca/en/houses~for-sale~dorval/26020802?view=Summary&uc=1
18379067,House for sale,"$569,000",203, Avenue Clément,"Lat:45.4419458300, Lon:-73.7624683700",4 bedrooms,2 bathrooms,,"Two or more storey, Detached",Unknown age,"4,912 sqft",,https://www.centris.ca/en/houses~for-sale~dorval/18379067?view=Summary&uc=1
14571005,House for sale,"$1,040,015",245, boulevard Strathmore,"Lat:45.4451720000, Lon:-73.7754000000",4 bedrooms,2 bathrooms and 1 powder room,2 bathrooms and 1 powder room,"Two or more storey, Detached","To be built, New","6,670 sqft",,https://www.centris.ca/en/houses~for-sale~dorval/14571005?view=Summary&uc=1
23713201,House for sale,"$699,000",45, Avenue Lilas,"Lat:45.4387970000, Lon:-73.7338740000",4 bedrooms (1 in basement),2 bathrooms,,"Bungalow, Detached",1953,"6,250 sqft",,https://www.centris.ca/en/houses~for-sale~dorval/23713201?view=Summary&uc=1
12406380,House for sale,"$795,000",180, Avenue Joubert,"Lat:45.4414750000, Lon:-73.7226210000",4 bedrooms (1 in basement),3 bathrooms,,"Split-level, Detached",1981,"6,100 sqft",,https://www.centris.ca/en/houses~for-sale~dorval/12406380?view=Summary&uc=1
28087384,House for sale,"$1,895,000",18, Place Elliot,"Lat:45.4395035000, Lon:-73.7216525400",5 bedrooms,3 bathrooms and 2 powder rooms,3 bathrooms and 2 powder rooms,"Two or more storey, Detached",1950,"14,518 sqft",,https://www.centris.ca/en/houses~for-sale~dorval/28087384?view=Summary&uc=1
10735860,House for sale,"$1,289,000",75, Terrasse Whitehead,"Lat:45.4413780100, Lon:-73.7741212300",4 bedrooms (1 in basement),3 bathrooms,,"Bungalow, Detached",1980,"10,739 sqft",,https://www.centris.ca/en/houses~for-sale~dorval/10735860?view=Summary&uc=1
25223241,House for sale,"$1,890,000",2295, Chemin du Bord-du-Lac-Lakeshore,"Lat:45.4435910000, Lon:-73.7757610000",4 bedrooms,3 bathrooms and 1 powder room,3 bathrooms and 1 powder room,"Two or more storey, Detached",Unknown age,"15,828 sqft",,https://www.centris.ca/en/houses~for-sale~dorval/25223241?view=Summary&uc=1
24887182,House for sale,"$3,390,303",1200, Chemin du Bord-du-Lac-Lakeshore,"Lat:45.4392573800, Lon:-73.7500026400",4 bedrooms (1 in basement),5 bathrooms and 1 powder room,5 bathrooms and 1 powder room,"Two or more storey, Detached","Under construction, New","10,649 sqft",,https://www.centris.ca/en/houses~for-sale~dorval/24887182?view=Summary&uc=1
14169305,House for sale,"$1,850,000",965, Chemin du Bord-du-Lac-Lakeshore,"Lat:45.4388910300, Lon:-73.7439051200",6 bedrooms (2 in basement),4 bathrooms and 1 powder room,4 bathrooms and 1 powder room,"Two or more storey, Detached",1989,"12,255 sqft",,https://www.centris.ca/en/houses~for-sale~dorval/14169305?view=Summary&uc=1
10037436,House for sale,"$1,395,000",175, Avenue Tremont,"Lat:45.4423757800, Lon:-73.7241648100",4 bedrooms,4 bathrooms and 1 powder room,4 bathrooms and 1 powder room,"Two or more storey, Detached",1986,"11,869 sqft",,https://www.centris.ca/en/houses~for-sale~dorval/10037436?view=Summary&uc=1
17504837,House for sale,"$3,250,000",1020, Chemin du Bord-du-Lac-Lakeshore,"Lat:45.4378820000, Lon:-73.7456130000",5 bedrooms,4 bathrooms,,"Two or more storey, Detached",Unknown age,"41,232 sqft",,https://www.centris.ca/en/houses~for-sale~dorval/17504837?view=Summary&uc=1
23200584,House for sale,"$649,000",290, Chemin du Bord-du-Lac-Lakeshore,"Lat:45.4408320000, Lon:-73.7273580000",4 bedrooms (2 in basement),2 bathrooms and 1 powder room,2 bathrooms and 1 powder room,"Bungalow, Detached",1964,"5,850 sqft",,https://www.centris.ca/en/houses~for-sale~dorval/23200584?view=Summary&uc=1
28870418,House for sale,"$1,100,000",1525, Chemin du Bord-du-Lac-Lakeshore,"Lat:45.4399470000, Lon:-73.7589920000",5 bedrooms (1 in basement),2 bathrooms and 1 powder room,2 bathrooms and 1 powder room,"Two or more storey, Detached",1981,"10,915 sqft",,https://www.centris.ca/en/houses~for-sale~dorval/28870418?view=Summary&uc=1
17294122,House for sale,"$330,000",640, boulevard Graham,"Lat:45.4534920000, Lon:-73.7743750000",2 bedrooms,1 bathroom,,"Bungalow, Detached",1959,,,https://www.centris.ca/en/houses~for-sale~dorval/17294122?view=Summary&uc=1
25852925,House for sale,"$779,000",350, Parkwood Circle,"Lat:45.4473180000, Lon:-73.7552260000",5 bedrooms (1 in basement),2 bathrooms and 2 powder rooms,2 bathrooms and 2 powder rooms,"Two or more storey, Detached",1964,"7,025 sqft",,https://www.centris.ca/en/houses~for-sale~dorval/25852925?view=Summary&uc=1
16393161,House for sale,"$1,348,800",357, Avenue Lilas,"Lat:45.4458777400, Lon:-73.7358628000",6 bedrooms (1 in basement),4 bathrooms and 1 powder room,4 bathrooms and 1 powder room,"Two or more storey, Detached",2014,"6,030 sqft",,https://www.centris.ca/en/houses~for-sale~dorval/16393161?view=Summary&uc=1
21723982,House for sale,"$2,198,000",21, Avenue Martin,"Lat:45.4377850000, Lon:-73.7296490000",5 bedrooms (1 in basement),3 bathrooms and 1 powder room,3 bathrooms and 1 powder room,"Two or more storey, Detached",2005,"13,568 sqft",,https://www.centris.ca/en/houses~for-sale~dorval/21723982?view=Summary&uc=1
21264481,House for sale,"$1,282,000",50, Promenade Mcconnell,"Lat:45.4379858000, Lon:-73.7475896400",5 bedrooms,3 bathrooms and 1 powder room,3 bathrooms and 1 powder room,"Two or more storey, Detached",1985,"12,000 sqft",,https://www.centris.ca/en/houses~for-sale~dorval/21264481?view=Summary&uc=1
28103776,House for sale,"$2,995,000",35, Terrasse Bellerive,"Lat:45.4380807700, Lon:-73.7385889200",4 bedrooms,3 bathrooms and 1 powder room,3 bathrooms and 1 powder room,"Two or more storey, Detached",1997,"11,851 sqft",,https://www.centris.ca/en/houses~for-sale~dorval/28103776?view=Summary&uc=1
25997299,House for sale,"$529,000",208, Avenue Clément,"Lat:45.4420790000, Lon:-73.7629620000",3 bedrooms,1 bathroom and 1 powder room,1 bathroom and 1 powder room,"Two or more storey, Detached",1969,"2,400 sqft",,https://www.centris.ca/en/houses~for-sale~dorval/25997299?view=Summary&uc=1
23353036,House for sale,"$719,000",325, Chemin du Bord-du-Lac-Lakeshore,"Lat:45.4409990000, Lon:-73.7283070000",4 bedrooms (1 in basement),3 bathrooms,,"Two or more storey, Detached",1951,"6,707 sqft",,https://www.centris.ca/en/houses~for-sale~dorval/23353036?view=Summary&uc=1
23414264,House for sale,"$1,288,000",2125, Chemin du Bord-du-Lac-Lakeshore,"Lat:45.4409060000, Lon:-73.7722490000",4 bedrooms (1 in basement),3 bathrooms and 1 powder room,3 bathrooms and 1 powder room,"Two or more storey, Detached",1941,"12,292 sqft",,https://www.centris.ca/en/houses~for-sale~dorval/23414264?view=Summary&uc=1
